hearing_id,subject_id,question-response_number,question,response,q_emotion1,q_emotion2,q_emotion1_text,q_emotion1_intensity,q_emotion1_intensity_text,q_emotion1_confidence,q_emotion2_text,q_emotion2_intensity,q_emotion2_intensity_text,q_emotion2_confidence,r_emotion1,r_emotion2,r_emotion1_text,r_emotion1_intensity,r_emotion1_intensity_text,r_emotion1_confidence,r_emotion2_text,r_emotion2_intensity,r_emotion2_intensity_text,r_emotion2_confidence,a_emotions
CHRG-113hhrg89598,Glfk,1,And why did you do that?,"Because Ms. Lerner, I am advised, insisted that all possible efforts be made.",Annoyance,Hostility,,4,,70,,6,,80,Submission,,,7,,70,,,,,"('Boredom', '')"
CHRG-113hhrg89598,Glfk,2,"And that subpoena asked you to come here--in fact, it compelled to you come here tonight?",Correct.,Friendliness,Interest,,8,,80,,8,,90,Boredom,Interest,,7,,60,,3,,70,"('Acceptance', '')"
CHRG-113hhrg89598,Glfk,3,"No problem. So the bottom line is that you apparently were not capturing all emails. You were allowing her to delete emails but retain emails on her C drive so that, 6 months after--I just want to make sure we get the record straight--6 months after she moved them to her C drive, you were no longer in possession of those. Is that correct?",No.,Disapproval,Hostility,,8,,90,,5,,90,Boredom,Disapproval,,10,,100,,10,,100,"('Contempt', '')"
CHRG-113hhrg89598,Glfk,4,"Of course. But you cannot say what I've asked you, that no crime has been committed. So let's go to Lois Lerner. She came before this committee and, under--while she was placed under oath, she evoked the Fifth because she indicated that she wanted to assert those rights, albeit that she did that incorrectly, because she had fear of prosecution. Let's say that again. Prosecution. Fear of criminal prosecution. Now, you can't testify today that Lois Lerner has no need for a fear of criminal prosecution because you can't testify that Lois Lerner didn't commit a crime. Now, here's what I'm concerned about, since you are a man who is placed before us with integrity. If in the process of these emails being destroyed there were those in your Agency that knew that it was a possibility that a crime was committed, then they committed a crime because destruction of evidence of a crime is, in fact, a crime. And you can't testify today that no one--that there was no crime committed in the destruction of her emails. Right? You can only say you have no evidence of a crime having been committed in the destruction of these emails. Right.","I have no evidence whether she beat her dog, whether she beat children. I have no evidence of a whole series of things.",Aggressiveness,,,7,,70,,8,,80,Contempt,,,10,,60,,,,,"('Contempt', '')"
CHRG-113hhrg89598,Glfk,5,"From June of 2009 to April of 2011. So it raises many questions. Now, you came on in December, right, John?","Yes, the end of December.",Interest,,,10,,100,,7,,,Annoyance,,,,,,,,,,"('Annoyance', '')"
CHRG-113hhrg89598,Glfk,6,Have you discussed tonight with this committee anything--any matter pertinent to this subject that was not discussed last Friday?,"Thus far, no.",Annoyance,Disapproval,,3,,80,,8,,100,Acceptance,,,10,,100,,,,,"('Hostility', '')"
CHRG-113hhrg89598,Glfk,7,You did not?,I did not.,Awe,,,6,,80,,0,,,Disapproval,,,10,,100,,,,,"('Aggressiveness', '')"
CHRG-113hhrg89598,Glfk,8,How does that affect what you do?,"What it affects is that--we have a wide range of responsibilities. The IT budget has been cut by over $100 million over the last 4 years. This year's budget for 2014 required $300 million just for the implementation of the Affordable Care Act, but Congress provided us zero. That meant that that $300 million to implement a statutory mandate had to be taken from other IT programs. That's been our challenge for the last 3 or 4 years.",Hostility,,,8,,80,,,,,Annoyance,,,10,,100,,,,,"('Hostility', '')"
CHRG-113hhrg89598,Glfk,9,"And that's gone, too?","No, everything that we have and all the--that was a disaster recovery system for the Chief Counsel. All of those emails across the system have been--any data that the Chief Counsel has or that the IRS has has been searched.",Disapproval,,,6,,90,,,,,Remorse,,,6,,40,,,,,"('Apprehension', '')"
CHRG-113hhrg89598,Glfk,10,"Now, despite all of these efforts, the field director finally emailed Ms. Lerner with the results. Next slide, please. ""Unfortunately, the news is not good. The sectors on the hard drive were bad, which made your data unrecoverable. I'm very sorry. Everyone involved tried their best."" So the technical experts concluded 3 years ago that the sectors on her hard drive were bad. Is that accurate?",That's what the email says.,Remorse,,,10,,10,,,,,Acceptance,,,10,,10,,,,,"('Friendliness', '')"
CHRG-113hhrg89598,Glfk,11,Did Mr. Issa ever call you and ask you to come voluntarily?,No.,Interest,,,5,,10,,,,,Disapproval,,,7,,80,,,,,"('Boredom', '')"
CHRG-113hhrg89598,Glfk,12,"Well, what is correct?","What is correct is that each employee is limited to basically now 6,000 emails that they can hold on their email account which is stored on the agency's server. The reason there is a limitation is the agency does not have servers large enough to sustain the retention of all emails. A decision was made 2 years ago when people looked at that and it was determined it would cost anywhere from $10 million to $30 million to upgrade the system so that, in fact, all emails on the server would be preserved. Because of the budget constraints the agency was operating with 2 years ago, the decision was made not to proceed.",Aggressiveness,,,4,,100,,,,,Apprehension,,,7,,80,,,,,"('Disapproval', '')"
CHRG-113hhrg89598,Glfk,13,"Right. That's why it's so important, getting to what Jim Jordan has said about a special prosecutor, and that's what my question is to you today. If you are truly a man of integrity and you know the difference between you--you--there's no--that you have--you don't have any evidence that a crime has been committed versus you know no crime has been committed, you have to understand that the whole integrity of your Agency is at risk. You possibly have people at the IRS who are committing crimes and they're not being held accountable. The only way you can know that is to--by pick up the phone, call the FBI and ask them to come in and do an investigation on the disappearance of these emails. So my question to you is: Will you call the FBI and ask them to come in and investigate these missing emails that their destruction could possibly have been a crime?","At this time, the Inspector General, an independent agency not controlled by us, started an investigation----",Aggressiveness,,,4,,10,,,,,Contempt,,,4,,80,,,,,"('Boredom', '')"
CHRG-113hhrg89598,Glfk,14,"And they briefed you. You were briefed about this whole situation the beginning, I guess, of January. In February, you testified today that you learned that there was a problem recovering some of the emails. Is that correct?","No, I--yes, I--what I learned was that there was an issue with her emails, that there was a problem with the dates.",Awe,,,4,,34,,,,,Distraction,,,6,,80,,,,,"('Contempt', '')"
CHRG-113hhrg89598,Glfk,15,"So just to get it right, you--you were scheduled to testify originally in front of Chairman Camp's committee tomorrow, on the 24th. Is that correct?",That's correct.,Friendliness,,,5,,80,,,,,Serenity,,,10,,100,,,,,"('Friendliness', '')"
CHRG-113hhrg89598,Glfk,16,So who did you tell in April when you knew?,Who did I tell? I didn't tell anybody. I was advised-- I had no one I was going to tell.,Interest,,,6,,70,,,,,Aggressiveness,,,4,,90,,,,,"('Contempt', '')"
CHRG-113hhrg89598,Glfk,17,"Now, Commissioner Koskinen, last week, many Members of Congress, including our own chairman, suggested that Lois Lerner intentionally crashed her computer to destroy emails. But, last Friday, you testified about the facts. You provided Congress with evidence from 2011, contemporaneous, by the way, emails showing exactly the opposite and that this was a technological problem. Since some Members of Congress are still pushing this accusation, I want to walk through these emails. And let me ask staff to put up the slides. On July 19th, 2011, Lois Lerner emailed Associate Chief Information Officer at the IRS for help in recovering her hard drive. And it says, ""I'm taking advantage of your offer to try and recapture my lost personal files. My computer skills are pretty basic, so nothing fancy. But there were some documents in the files that are irreplaceable. Whatever you can do to help is greatly appreciated."" Commissioner Koskinen, is that right? Is that accurate?","That's an email that has been found and been produced, yes.",Awe,,,7,,90,,,,,Friendliness,,,5,,,,,,,"('Apprehension', '')"
CHRG-113hhrg89598,Glfk,18,"Thank you, Mr. Chairman. Like Mr. Mica, John Koskinen, I have known you well before you came to Congress. Since coming to Congress, I have been impressed, not a little bit, by the confidence you have inspired in Republican and Democratic Presidents alike. It's as if they saved you for jobs that others couldn't do, didn't have the guts to do, or didn't have the integrity to do. You are well-known on both sides of the aisle as the government's most versatile turnaround artist. When an agency is in trouble, turn to John Koskinen. Therefore, I begin my series of questions simply by offering you an apology. I believe you deserve one. You deserve one because of accusations designed to sacrifice the reputation of a public servant with a spotless reputation, for political advantage, without a scintilla--and I use my words advisedly--of evidence. It's vile enough to look a man in the face and accuse him of perjury without submitting any evidence. It is much worse when all of the evidence supports the version of the facts of the man you are facing. Whether it is that the Lerner crash occurred well before this investigation began--she must be clairvoyant; whether it's been confirmed by the decriminalization lab, all the evidence is on your side, Mr. Koskinen. And I want to point out for the record that the line of conspiracy hunting has shifted with the Lerner crash. For the longest time, the line of questioning was about one subject alone. So we've moved from one scapegoat to another. What we've just moved off of, the notion that this was all a conspiracy directed on behalf of the White House, that also without a crumb of evidence. Lacking evidence, the crash provides new fodder. Just for the record, Mr. Koskinen, have you identified any evidence since you have been Commissioner that IRS employees before you came or now were part of a conspiracy to intentionally target the President's political enemies?","No. I have done no investigations. I have read the IG's report that said inappropriate criteria were used to identify organizations for review. And the IG had nine recommendations, and we have accepted all of those recommendations. I think it's important for the public to be confident that, whoever they are, they're going to be treated fairly by the IRS, whether they're Republicans, Democrats, belong to organizations of one kind or another. Wherever they show up, wherever they speak, they should understand they'll be treated fairly. If there's an issue, it's because something in their tax return; if somebody else had that issue, they would get the same response from the IRS. I think it's critical that the public have that confidence, and we're doing everything we can to restore that confidence.",Boredom,,,7,,80,,,,,Disapproval,,,8,,90,,,,,"('Apprehension', '')"
CHRG-113hhrg89598,Glfk,19,"Now, these emails are concrete evidence of what really happened back in 2011, but my Republican colleagues just want to ignore them. They want to pretend they don't exist, those stubborn facts. But they do exist. And they show this was not intentional, this was not nefarious, this was not a conspiracy. Mr. Koskinen, are you aware of any evidence, documents, emails--and I remind you you are under oath; I also remind you you have been accused of false statements--are you aware of any evidence, documents, emails, or other information from IT professionals that calls into question the accuracy and the legitimacy of these emails?",No.,Annoyance,,,6,,49,,,,,Boredom,,,5,,50,,,,,"('Optimism', '')"
CHRG-113hhrg89598,Glfk,20,Did any of his staff ever call you and ask you to come voluntarily?,No.,Boredom,,,7,,60,,,,,Awe,,,6,,90,,,,,"('Annoyance', '')"
